"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"beta-sitosterol","Beta-Sitosterol","HMDB0000852","222284","C01753","CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C","1"
"C22:1 MAG","NA","NA","NA","NA","NA","0"
"epoxysqualene","NA","NA","NA","NA","NA","0"
"C24:0 TAG","NA","NA","NA","NA","NA","0"
"C16:0 LPC","NA","NA","NA","NA","NA","0"
"C20:0 LPE","NA","NA","NA","NA","NA","0"
"C18:3 LPC","NA","NA","NA","NA","NA","0"
"C18:2 LPC","NA","NA","NA","NA","NA","0"
"C18:1 LPC","NA","NA","NA","NA","NA","0"
"C18:0 LPC","NA","NA","NA","NA","NA","0"
"C16:0 ceramide (d18:1)","NA","NA","NA","NA","NA","0"
"C20:5 LPC","NA","NA","NA","NA","NA","0"
"C30:0 DAG","NA","NA","NA","NA","NA","0"
"C32:2 DAG","NA","NA","NA","NA","NA","0"
"C32:0 DAG","NA","NA","NA","NA","NA","0"
"C34:3 DAG","NA","NA","NA","NA","NA","0"
"C34:2 DAG","NA","NA","NA","NA","NA","0"
"C34:1 DAG","NA","NA","NA","NA","NA","0"
"C34:0 DAG","NA","NA","NA","NA","NA","0"
"C14:0 CE","NA","NA","NA","NA","NA","0"
"C36:4 DAG","NA","NA","NA","NA","NA","0"
"C36:3 DAG","NA","NA","NA","NA","NA","0"
"C36:2 DAG","NA","NA","NA","NA","NA","0"
"C16:1 CE","NA","NA","NA","NA","NA","0"
"C16:0 CE","NA","NA","NA","NA","NA","0"
"C36:0 DAG","NA","NA","NA","NA","NA","0"
"C18:3 CE","NA","NA","NA","NA","NA","0"
"C38:5 DAG","NA","NA","NA","NA","NA","0"
"C18:2 CE","NA","NA","NA","NA","NA","0"
"C18:1 CE","NA","NA","NA","NA","NA","0"
"C18:0 CE","NA","NA","NA","NA","NA","0"
"C14:0 SM","NA","NA","NA","NA","NA","0"
"C20:4 CE","NA","NA","NA","NA","NA","0"
"C20:3 CE","NA","NA","NA","NA","NA","0"
"C20:5 CE","NA","NA","NA","NA","NA","0"
"C16:1 SM","NA","NA","NA","NA","NA","0"
"C16:0 SM","NA","NA","NA","NA","NA","0"
"C22:5 CE","NA","NA","NA","NA","NA","0"
"C22:4 CE","NA","NA","NA","NA","NA","0"
"C22:6 CE","NA","NA","NA","NA","NA","0"
"C34:0 PE","NA","NA","NA","NA","NA","0"
"C18:0 SM","NA","NA","NA","NA","NA","0"
"C32:1 PC","NA","NA","NA","NA","NA","0"
"C42:0 TAG","NA","NA","NA","NA","NA","0"
"C34:1 PC plasmalogen-A","NA","NA","NA","NA","NA","0"
"C34:2 PC","NA","NA","NA","NA","NA","0"
"C34:1 PC","NA","NA","NA","NA","NA","0"
"C36:5 PC plasmalogen-A","NA","NA","NA","NA","NA","0"
"C36:5 PC plasmalogen-B","NA","NA","NA","NA","NA","0"
"C44:1 TAG","NA","NA","NA","NA","NA","0"
"C44:0 TAG","NA","NA","NA","NA","NA","0"
"C36:2 PC plasmalogen","NA","NA","NA","NA","NA","0"
"C36:4 PC-A","NA","NA","NA","NA","NA","0"
"C36:4 PC-B","NA","NA","NA","NA","NA","0"
"C36:3 PC","NA","NA","NA","NA","NA","0"
"C22:1 SM","NA","NA","NA","NA","NA","0"
"C36:2 PC","NA","NA","NA","NA","NA","0"
"C22:0 SM","NA","NA","NA","NA","NA","0"
"C36:1 PC","NA","NA","NA","NA","NA","0"
"C46:2 TAG","NA","NA","NA","NA","NA","0"
"C46:1 TAG","NA","NA","NA","NA","NA","0"
"C46:0 TAG","NA","NA","NA","NA","NA","0"
"C24:1 SM","NA","NA","NA","NA","NA","0"
"C24:0 SM","NA","NA","NA","NA","NA","0"
"C48:2 TAG","NA","NA","NA","NA","NA","0"
"C48:4 TAG","NA","NA","NA","NA","NA","0"
"C48:3 TAG","NA","NA","NA","NA","NA","0"
"C48:0 TAG","NA","NA","NA","NA","NA","0"
"C48:1 TAG","NA","NA","NA","NA","NA","0"
"C49:1 TAG","NA","NA","NA","NA","NA","0"
"C50:4 TAG","NA","NA","NA","NA","NA","0"
"C50:3 TAG","NA","NA","NA","NA","NA","0"
"C50:5 TAG","NA","NA","NA","NA","NA","0"
"C50:1 TAG","NA","NA","NA","NA","NA","0"
"C50:2 TAG","NA","NA","NA","NA","NA","0"
"C50:0 TAG","NA","NA","NA","NA","NA","0"
"C51:3 TAG","NA","NA","NA","NA","NA","0"
"C51:2 TAG","NA","NA","NA","NA","NA","0"
"C52:6 TAG","NA","NA","NA","NA","NA","0"
"C52:5 TAG","NA","NA","NA","NA","NA","0"
"C52:7 TAG","NA","NA","NA","NA","NA","0"
"C51:0 TAG","NA","NA","NA","NA","NA","0"
"C52:4 TAG","NA","NA","NA","NA","NA","0"
"C52:3 TAG","NA","NA","NA","NA","NA","0"
"C52:2 TAG","NA","NA","NA","NA","NA","0"
"C52:1 TAG","NA","NA","NA","NA","NA","0"
"C52:0 TAG","NA","NA","NA","NA","NA","0"
"C53:3 TAG","NA","NA","NA","NA","NA","0"
"C54:9 TAG","NA","NA","NA","NA","NA","0"
"C54:6 TAG","NA","NA","NA","NA","NA","0"
"C54:8 TAG","NA","NA","NA","NA","NA","0"
"C54:5 TAG","NA","NA","NA","NA","NA","0"
"C54:7 TAG","NA","NA","NA","NA","NA","0"
"C54:4 TAG","NA","NA","NA","NA","NA","0"
"C54:3 TAG","NA","NA","NA","NA","NA","0"
"C54:2 TAG","NA","NA","NA","NA","NA","0"
"C54:1 TAG","NA","NA","NA","NA","NA","0"
"C55:3 TAG","NA","NA","NA","NA","NA","0"
"C55:2 TAG","NA","NA","NA","NA","NA","0"
"C56:6 TAG","NA","NA","NA","NA","NA","0"
"C56:7 TAG","NA","NA","NA","NA","NA","0"
"C56:4 TAG","NA","NA","NA","NA","NA","0"
"C56:3 TAG","NA","NA","NA","NA","NA","0"
"C56:5 TAG","NA","NA","NA","NA","NA","0"
"C56:2 TAG","NA","NA","NA","NA","NA","0"
"C56:1 TAG","NA","NA","NA","NA","NA","0"
"C58:7 TAG","NA","NA","NA","NA","NA","0"
"C58:6 TAG","NA","NA","NA","NA","NA","0"
"propionate","Propionic acid","HMDB0000237","1032","C00163","CCC(=O)O","1"
"butyrate / isobutytare","NA","NA","NA","NA","NA","0"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@@H](C(=O)O)N","1"
"oxalate","Oxalic acid","HMDB0002329","971","C00209","C(=O)(C(=O)O)O","1"
"lactate","L-Lactic acid","HMDB0000190","61503","C00186","C[C@@H](C(=O)O)O","1"
"methylbutyric aid / valeric / isovaleric","NA","NA","NA","NA","NA","0"
"2-aminobutyric acid","L-Alpha-aminobutyric acid","HMDB0000452","80283","C02356","CC[C@@H](C(=O)O)N","1"
"malonate","Malonate",NA,"3673","C00383",NA,"1"
"alpha-hydroxybutyrate","2-Hydroxybutyric acid","HMDB0000008","11266","C05984","CCC(C(=O)O)O","1"
"serine","Serine","HMDB0062263","5951","C00716","N[C@@H](CO)C(O)=O","1"
"glycerate","Glyceric acid","HMDB0000139","439194","C00258","C([C@H](C(=O)O)O)O","1"
"pyrocatechol","Pyrocatechol","HMDB0000957","3390","C15571","C1=CC=C(C(=C1)O)O","1"
"uracil","Uracil","HMDB0000300","1174","C00106","C1=CNC(=O)NC1=O","1"
"proline","L-Proline","HMDB0000162","145742","C00148","C1C[C@H](NC1)C(=O)O","1"
"fumarate/maleate","NA","NA","NA","NA","NA","0"
"alpha-ketoisovalerate","Alpha-ketoisovaleric acid","HMDB0000019","49","C00141","CC(C)C(=O)C(=O)O","1"
"caproic acid","Caproic acid","HMDB0000535","8892","C01585","CCCCCC(=O)O","1"
"valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@@H](C(=O)O)N","1"
"succite","NA","NA","NA","NA","NA","0"
"hydroxyisovaleric acid","NA","NA","NA","NA","NA","0"
"threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@H]([C@@H](C(=O)O)N)O","1"
"4-hydroxybenzaldehyde","4-Hydroxybenzaldehyde","HMDB0011718","126","C00633","C1=CC(=CC=C1C=O)O","1"
"nicotinate","Nicotinic acid","HMDB0001488","938","C00253","C1=CC(=CN=C1)C(=O)O","1"
"4-methylcatechol","4-Methylcatechol","HMDB0000873","9958","C06730","CC1=CC(=C(C=C1)O)O","1"
"taurine","Taurine","HMDB0000251","1123","C00245","C(CS(=O)(=O)O)N","1"
"thymine","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"acetylalanine","N-Acetyl-L-alanine","HMDB0000766","88064",NA,"C[C@@H](C(=O)O)NC(=O)C","1"
"leucine","L-Leucine","HMDB0000687","6106","C00123","CC(C)C[C@@H](C(=O)O)N","1"
"asparagine","L-Asparagine","HMDB0000168","6267","C00152","C([C@@H](C(=O)O)N)C(=O)N","1"
"2-hydroxy-3-methylpentanoic acid /  leucinic acid","NA","NA","NA","NA","NA","0"
"aspartate","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
"malate","L-Malic acid","HMDB0000156","222656","C00149","C([C@@H](C(=O)O)O)C(=O)O","1"
"adenine","Adenine","HMDB0000034","190","C00147","C1=NC2=C(N1)C(=NC=N2)N","1"
"erythronic acid","Erythronic acid","HMDB0000613","2781043",NA,"C([C@H]([C@H](C(=O)O)O)O)O","1"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","C1=NC2=C(N1)C(=O)N=CN2","1"
"phenylacetate","Phenylacetic acid","HMDB0000209","999","C07086","C1=CC=C(C=C1)CC(=O)O","1"
"salicylate","Salicyluric acid","HMDB0000840","10253","C07588","C1=CC=C(C(=C1)C(=O)NCC(=O)O)O","1"
"4-nitrophenol","4-Nitrophenol","HMDB0001232","980","C00870","C1=CC(=CC=C1[N+](=O)[O-])O","1"
"caprylic acid","Caprylic acid","HMDB0000482","379","C06423","CCCCCCCC(=O)O","1"
"alpha-ketoglutarate","Oxoglutaric acid","HMDB0000208","51","C00026","C(CC(=O)O)C(=O)C(=O)O","1"
"2-methylglutaric acid","2-Methylglutaric acid","HMDB0000422","12046",NA,"CC(CCC(=O)O)C(=O)O","1"
"glutamine","L-Glutamine","HMDB0000641","5961","C00064","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"glutamate","L-Glutamic acid","HMDB0000148","33032","C00025","C(CC(=O)O)[C@@H](C(=O)O)N","1"
"2-hydroxyglutarate","2-Hydroxyglutarate","HMDB0059655","43","C02630","OC(CCC(O)=O)C(O)=O","1"
"methionine","L-Methionine","HMDB0000696","6137","C00073","CSCC[C@@H](C(=O)O)N","1"
"tartarate","D-Glyceraldehyde 3-phosphate",NA,"3418","C00118",NA,"1"
"xylose","D-Xylose","HMDB0000098","135191","C00181","C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O","1"
"hydrocinnamic acid","Hydrocinnamic acid","HMDB0000764","107","C05629","C1=CC=C(C=C1)CCC(=O)O","1"
"guanine","Guanine","HMDB0000132","764","C00242","C1=NC2=C(N1)C(=O)N=C(N2)N","1"
"xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"ribitol","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"dihydroxybenzoic acid","NA","NA","NA","NA","NA","0"
"histidine","L-Histidine","HMDB0000177","6274","C00135","C1=C(NC=N1)C[C@@H](C(=O)O)N","1"
"orotate","Orotic acid","HMDB0000226","967","C00295","C1=C(NC(=O)NC1=O)C(=O)O","1"
"imidazolelactate","Imidazolelactic acid","HMDB0002320","459122","C05132","C1=CN(C=N1)CC(C(=O)O)O","1"
"3-methyladipate-pimelate","NA","NA","NA","NA","NA","0"
"levoglucosan","Levoglucosan","HMDB0000640","2724705",NA,"C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O","1"
"fucose","L-Fucose","HMDB0000174","25310","C01019","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O","1"
"phenylalanine","L-Phenylalanine","HMDB0000159","6140","C00079","C1=CC=C(C=C1)C[C@@H](C(=O)O)N","1"
"L-phenyllactic acid","NA","NA","NA","NA","NA","0"
"urate","Uric acid","HMDB0000289","1175","C00366","C12=C(NC(=O)N1)NC(=O)NC2=O","1"
"shikimate","Shikimic acid","HMDB0003070","8742","C00493","C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O","1"
"suberate","Suberic acid","HMDB0000893","10457","C08278","C(CCCC(=O)O)CCC(=O)O","1"
"arginine","L-Arginine","HMDB0000517","6322","C00062","C(C[C@@H](C(=O)O)N)CN=C(N)N","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","C(C[C@@H](C(=O)O)N)CNC(=O)N","1"
"ascorbate","Ascorbate",NA,"3372","C00072",NA,"1"
"fructose/glucose/galactose","NA","NA","NA","NA","NA","0"
"tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"homovanillate","Homovanillic acid","HMDB0000118","1738","C05582","COC1=C(C=CC(=C1)CC(=O)O)O","1"
"sorbitol","Sorbitol","HMDB0000247","5780","C00794","C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O","1"
"saccharin","Saccharin","HMDB0029723","5143","C12283","C1=CC=C2C(=C1)C(=O)NS2(=O)=O","1"
"4-pyridoxate","4-Pyridoxic acid","HMDB0000017","6723","C00847","CC1=NC=C(C(=C1O)C(=O)O)CO","1"
"azelaic acid","Azelaic acid","HMDB0000784","2266","C08261","C(CCCC(=O)O)CCCC(=O)O","1"
"N-acetylglutamate","N-Acetylglutamic acid","HMDB0001138","185","C00624","CC(=O)NC(CCC(=O)O)C(=O)O","1"
"citrate","Citric acid","HMDB0000094","311","C00158","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"glucurote","NA","NA","NA","NA","NA","0"
"tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"1-3-7-trimethylurate","NA","NA","NA","NA","NA","0"
"pantothete","NA","NA","NA","NA","NA","0"
"ethyl glucuronide","Ethyl glucuronide","HMDB0010325","18392195",NA,"CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O","1"
"1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid","NA","NA","NA","NA","NA","0"
"cystine","L-Cystine","HMDB0000192","67678","C00491","C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N","1"
"pentadecanoate","Pentadecanoic acid","HMDB0000826","13849","C16537","CCCCCCCCCCCCCCC(=O)O","1"
"uridine","Uridine","HMDB0000296","6029","C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"pseudouridine","Pseudouridine","HMDB0000767","15047","C02067","C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"deoxyinosine","Deoxyinosine","HMDB0000071","65058","C05512","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O","1"
"inosine","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"heptadecanoate","Heptadecanoic acid","HMDB0002259","10465",NA,"CCCCCCCCCCCCCCCCC(=O)O","1"
"guanosine","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"docosapentaenoate","Docosapentaenoic acid (22n-6)","HMDB0001976","6441454",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"lactose","Lactose","HMDB0041627","6134","C01970","[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O","1"
"riboflavin","Riboflavin","HMDB0000244","493570","C00255","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O","1"
"lithocholate","Isolithocholic acid","HMDB0000717","9903","C17658","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@@H](C4)O)C)C","1"
"chenodeoxycholate/deoxycholate","NA","NA","NA","NA","NA","0"
"glycocholate","Glycocholic acid","HMDB0000138","23617285","C01921","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"taurodeoxycholate/taurochenodeoxycholate","NA","NA","NA","NA","NA","0"
"putrescine","Putrescine","HMDB0001414","1045","C00134","C(CCN)CN","1"
"beta-alanine","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"choline","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"cytosine","Cytosine","HMDB0000630","597","C00380","C1=C(NC(=O)N=C1)N","1"
"histamine","Histamine","HMDB0000870","774","C00388","C1=C(NC=N1)CCN","1"
"creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)N=C1N","1"
"N-acetylputrescine","N-Acetylputrescine","HMDB0002064","122356","C02714","CC(=O)NCCCCN","1"
"betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(=O)[O-]","1"
"trimethylbenzene","NA","NA","NA","NA","NA","0"
"nicotinic acid","Nicotinic acid","HMDB0001488","938","C00253","C1=CC(=CN=C1)C(=O)O","1"
"pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","C01879","C1CC(=O)N[C@@H]1C(=O)O","1"
"pipecolic acid","Pipecolic acid","HMDB0000070","849","C00408","C1CCNC(C1)C(=O)O","1"
"N-methylproline","N-Propionylmethionine","HMDB0094704","21117855",NA,"[H][C@@](CCSC)(N=C(O)CC)C(O)=O","1"
"hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","C1[C@H](CN[C@@H]1C(=O)O)O","1"
"creatine","Creatine","HMDB0000064","586","C00300","CN(CC(=O)O)C(=N)N","1"
"isoleucine","L-Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@@H](C(=O)O)N","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","C(C[C@@H](C(=O)O)N)CN","1"
"1-methylnicotinamide","1-Methylnicotinamide","HMDB0000699","457","C02918","C[N+]1=CC=CC(=C1)C(=O)N","1"
"trigonelline","Trigonelline","HMDB0000875","5570","C01004","C[N+]1=CC=CC(=C1)C(=O)[O-]","1"
"2-hydroxyphenethylamine","2-Hydroxyphenethylamine","HMDB0001065","1000","C02735","C1=CC=C(C=C1)C(CN)O","1"
"urocanic acid","Urocanic acid","HMDB0000301","736715","C00785","C1=C(NC=N1)/C=C/C(=O)O","1"
"imidazole propionate","Imidazolepropionic acid","HMDB0002271","70630","C20522","C1=C(NC=N1)CCC(=O)O","1"
"proline betaine","Proline betaine","HMDB0004827","7016563","C10172","C[N+]1(CCC[C@H]1C(=O)[O-])C","1"
"4-guanidinobutanoic acid","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","C(CC(=O)O)CN=C(N)N","1"
"butyrobetaine","4-Trimethylammoniobutanoic acid","HMDB0001161","134","C01181","C[N+](C)(C)CCCC(=O)O","1"
"acetylcholine","Acetylcholine","HMDB0000895","6060","C01996","CC(=O)OCC[N+](C)(C)C","1"
"lysine","L-Lysine","HMDB0000182","5962","C00047","C(CCN)C[C@@H](C(=O)O)N","1"
"triethanolamine","Triethanolamine","HMDB0032538","7618","C06771","C(CO)N(CCO)CCO","1"
"4-hydroxy-3-methylacetophenone","NA","NA","NA","NA","NA","0"
"pyridoxamine","Pyridoxamine","HMDB0001431","1052","C00534","CC1=NC=C(C(=C1O)CN)CO","1"
"methylpyridonecarboxamide","NA","NA","NA","NA","NA","0"
"carnitine","L-Carnitine","HMDB0000062","2724480","C00318","C[N+](C)(C)C[C@H](CC(=O)[O-])O","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","847","C02989","CS(=O)CCC(C(=O)O)N","1"
"1-methylguanine","1-Methylguanine","HMDB0003282","70315","C04152","CN1C(=O)C2=C(N=CN2)N=C1N","1"
"7-methylguanine","7-Methylguanine","HMDB0000897","11361","C02242","CN1C=NC2=C1C(=O)N=C(N2)N","1"
